Id,Name,Age,Nationality,Injured,Team,Position,Games,Minutes,Accuracy_Passes,Key_Passes,Total_Passes,Shots_On,Shots_Total,Dribbles_Attempts,Dribbles_Past,Dribbles_Success,Fouls_Drawn,Fouls_Committed,Tackled_Block,Tackled_Intercept,Tackled_Total,Duels_Won,Duels_Total,Goals_Assist,Goals_Total,Goals_Conceded,Goals_Saves,Photo,Logo_Team,Rating,Yellow_Cards,Red_Cards,Yellow_Red_Cards,Captain,Penalty_Won,Penalty_Commited,Penalty_Scored,Penalty_Missed,Penalty_Saved,player_photo,player_team_logo,player_league_name,Weight_kg,Height_cm,league_strength
2500,F. Balbuena,33,Paraguay,False,Corinthians,Defender,13.0,1082.0,37.0,,612.0,5.0,9.0,3.0,,2.0,4.0,8.0,10.0,12.0,14.0,48.0,79.0,,3.0,0.0,,https://media.api-sports.io/football/players/2500.png,https://media.api-sports.io/football/teams/131.png,6.907692,2.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/2500.png,https://media.api-sports.io/football/teams/131.png,Serie A,88.0,188.0,94
9460,Gabriel Baralhas,26,Brazil,False,Atletico Goianiense,Midfielder,30.0,2168.0,32.0,14.0,992.0,16.0,32.0,26.0,,18.0,17.0,35.0,10.0,36.0,45.0,103.0,204.0,2.0,4.0,0.0,,https://media.api-sports.io/football/players/9460.png,https://media.api-sports.io/football/teams/144.png,6.948148,12.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/9460.png,https://media.api-sports.io/football/teams/144.png,Serie A,74.0,178.0,94
9468,Bruno Tubarão,29,Brazil,False,RB Bragantino,Attacker,9.0,454.0,11.0,4.0,140.0,4.0,8.0,11.0,,6.0,3.0,5.0,,5.0,8.0,30.0,71.0,,0.0,0.0,,https://media.api-sports.io/football/players/9468.png,https://media.api-sports.io/football/teams/794.png,6.600000,0.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/9468.png,https://media.api-sports.io/football/teams/794.png,Serie A,70.0,180.0,94
9923,Hyoran,31,Brazil,False,RB Bragantino,Midfielder,26.0,1286.0,10.0,20.0,338.0,11.0,30.0,19.0,,5.0,13.0,15.0,3.0,9.0,23.0,46.0,116.0,3.0,3.0,0.0,,https://media.api-sports.io/football/players/9923.png,https://media.api-sports.io/football/teams/794.png,6.752173,1.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/9923.png,https://media.api-sports.io/football/teams/794.png,Serie A,66.0,174.0,94
10013,Moisés,29,Brazil,False,Internacional,Defender,8.0,591.0,27.0,5.0,197.0,5.0,7.0,12.0,,7.0,5.0,7.0,,5.0,6.0,25.0,43.0,1.0,2.0,0.0,,https://media.api-sports.io/football/players/10013.png,https://media.api-sports.io/football/teams/119.png,7.033333,5.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/10013.png,https://media.api-sports.io/football/teams/119.png,Serie A,89.0,184.0,94
10025,Shaylon,27,Brazil,False,Atletico Goianiense,Midfielder,28.0,1355.0,17.0,30.0,541.0,10.0,21.0,23.0,,13.0,5.0,14.0,,6.0,14.0,34.0,94.0,,3.0,0.0,,https://media.api-sports.io/football/players/10025.png,https://media.api-sports.io/football/teams/144.png,6.796153,3.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/10025.png,https://media.api-sports.io/football/teams/144.png,Serie A,71.0,180.0,94
10073,Luiz Fernando,28,Brazil,False,Atletico Goianiense,Attacker,29.0,1758.0,12.0,21.0,441.0,15.0,39.0,46.0,,20.0,36.0,23.0,1.0,11.0,16.0,98.0,211.0,4.0,2.0,0.0,,https://media.api-sports.io/football/players/10073.png,https://media.api-sports.io/football/teams/144.png,6.723076,6.0,1.0,1.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/10073.png,https://media.api-sports.io/football/teams/144.png,Serie A,66.0,178.0,94
10082,Rafael Santos,26,Brazil,False,Coritiba,Defender,15.0,1147.0,17.0,10.0,350.0,1.0,5.0,10.0,,4.0,7.0,8.0,3.0,10.0,24.0,49.0,83.0,,0.0,0.0,,https://media.api-sports.io/football/players/10082.png,https://media.api-sports.io/football/teams/147.png,6.820000,2.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/10082.png,https://media.api-sports.io/football/teams/147.png,Serie A,73.0,180.0,94
10121,Thiago Heleno,36,Brazil,False,Atletico Paranaense,Defender,13.0,1141.0,39.0,4.0,615.0,1.0,5.0,1.0,,,4.0,11.0,10.0,23.0,11.0,31.0,68.0,,0.0,0.0,,https://media.api-sports.io/football/players/10121.png,https://media.api-sports.io/football/teams/134.png,6.761538,4.0,1.0,0.0,False,,,0.0,1.0,,https://media.api-sports.io/football/players/10121.png,https://media.api-sports.io/football/teams/134.png,Serie A,96.0,185.0,94
10125,Khellven,23,Brazil,False,Atletico Paranaense,Defender,28.0,2099.0,18.0,25.0,619.0,2.0,11.0,32.0,,12.0,19.0,33.0,7.0,38.0,41.0,82.0,174.0,2.0,1.0,0.0,,https://media.api-sports.io/football/players/10125.png,https://media.api-sports.io/football/teams/134.png,6.883333,1.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/10125.png,https://media.api-sports.io/football/teams/134.png,Serie A,70.0,176.0,94
13771,D. Borrero,22,Colombia,False,Atletico-MG,Midfielder,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,https://media.api-sports.io/football/players/13771.png,https://media.api-sports.io/football/teams/1062.png,,0.0,0.0,0.0,False,,,,,,https://media.api-sports.io/football/players/13771.png,https://media.api-sports.io/football/teams/1062.png,Serie A,66.0,180.0,94
41495,Philipe Sampaio,30,Brazil,False,Botafogo,Defender,16.0,1127.0,45.0,,576.0,,2.0,7.0,,3.0,6.0,17.0,10.0,27.0,11.0,50.0,90.0,,0.0,0.0,,https://media.api-sports.io/football/players/41495.png,https://media.api-sports.io/football/teams/120.png,6.963636,3.0,1.0,1.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/41495.png,https://media.api-sports.io/football/teams/120.png,Serie A,83.0,191.0,94
51033,E. Atuesta,27,Colombia,False,Palmeiras,Midfielder,26.0,643.0,9.0,8.0,266.0,7.0,14.0,21.0,,10.0,9.0,15.0,1.0,8.0,12.0,37.0,97.0,,1.0,0.0,,https://media.api-sports.io/football/players/51033.png,https://media.api-sports.io/football/teams/121.png,6.521739,4.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/51033.png,https://media.api-sports.io/football/teams/121.png,Serie A,71.0,180.0,94
54699,Rhaldney,26,Brazil,False,Atletico Goianiense,Midfielder,7.0,172.0,14.0,1.0,90.0,,2.0,2.0,,2.0,2.0,5.0,,2.0,10.0,20.0,32.0,,0.0,0.0,,https://media.api-sports.io/football/players/54699.png,https://media.api-sports.io/football/teams/144.png,6.771428,1.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/54699.png,https://media.api-sports.io/football/teams/144.png,Serie A,,,94
