Id,Name,Age,Nationality,Injured,Team,Position,Games,Minutes,Accuracy_Passes,Key_Passes,Total_Passes,Shots_On,Shots_Total,Dribbles_Attempts,Dribbles_Past,Dribbles_Success,Fouls_Drawn,Fouls_Committed,Tackled_Block,Tackled_Intercept,Tackled_Total,Duels_Won,Duels_Total,Goals_Assist,Goals_Total,Goals_Conceded,Goals_Saves,Photo,Logo_Team,Rating,Yellow_Cards,Red_Cards,Yellow_Red_Cards,Captain,Penalty_Won,Penalty_Commited,Penalty_Scored,Penalty_Missed,Penalty_Saved,player_photo,player_team_logo,player_league_name,Weight_kg,Height_cm
18906,Ayoze Pérez,31,Spain,False,Real Betis,Attacker,31.0,2309.0,,30.0,710.0,26.0,52.0,104.0,,50.0,48.0,36.0,4.0,22.0,59.0,177.0,377.0,1.0,9.0,0.0,,https://media.api-sports.io/football/players/18906.png,https://media.api-sports.io/football/teams/543.png,7.051612,4.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/18906.png,https://media.api-sports.io/football/teams/543.png,La Liga,66.0,178.0
46646,Sergio Herrera,31,Spain,False,Osasuna,Goalkeeper,32.0,2870.0,,1.0,1082.0,,,,,,7.0,,,,1.0,19.0,20.0,0.0,0.0,47.0,86.0,https://media.api-sports.io/football/players/46646.png,https://media.api-sports.io/football/teams/727.png,6.956250,2.0,0.0,0.0,False,,,0.0,0.0,0.0,https://media.api-sports.io/football/players/46646.png,https://media.api-sports.io/football/teams/727.png,La Liga,82.0,192.0
46652,Unai García,32,Spain,False,Osasuna,Defender,9.0,559.0,,1.0,194.0,1.0,2.0,1.0,,,1.0,9.0,1.0,8.0,12.0,17.0,42.0,0.0,1.0,0.0,,https://media.api-sports.io/football/players/46652.png,https://media.api-sports.io/football/teams/727.png,6.511111,5.0,0.0,1.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/46652.png,https://media.api-sports.io/football/teams/727.png,La Liga,81.0,186.0
46657,Nacho Vidal,29,Spain,False,Mallorca,Defender,8.0,417.0,,3.0,159.0,3.0,6.0,10.0,,2.0,3.0,9.0,2.0,3.0,12.0,30.0,62.0,0.0,0.0,0.0,,https://media.api-sports.io/football/players/46657.png,https://media.api-sports.io/football/teams/798.png,6.637500,2.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/46657.png,https://media.api-sports.io/football/teams/798.png,La Liga,75.0,180.0
46967,Juan Cruz,32,Spain,False,Osasuna,Defender,26.0,1663.0,,5.0,753.0,,2.0,10.0,,3.0,4.0,20.0,6.0,12.0,27.0,58.0,113.0,1.0,0.0,0.0,,https://media.api-sports.io/football/players/46967.png,https://media.api-sports.io/football/teams/727.png,6.576923,3.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/46967.png,https://media.api-sports.io/football/teams/727.png,La Liga,79.0,180.0
47448,Aitor Fernández,33,Spain,False,Osasuna,Goalkeeper,7.0,550.0,,,177.0,,,,,,,,,,,,2.0,0.0,0.0,9.0,11.0,https://media.api-sports.io/football/players/47448.png,https://media.api-sports.io/football/teams/727.png,6.614285,2.0,0.0,0.0,False,,,0.0,0.0,0.0,https://media.api-sports.io/football/players/47448.png,https://media.api-sports.io/football/teams/727.png,La Liga,78.0,182.0
47541,Santi Comesaña,28,Spain,False,Villarreal,Midfielder,27.0,1656.0,,12.0,856.0,7.0,13.0,32.0,,21.0,22.0,33.0,9.0,22.0,44.0,117.0,221.0,0.0,2.0,0.0,,https://media.api-sports.io/football/players/47541.png,https://media.api-sports.io/football/teams/533.png,6.785185,7.0,1.0,1.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/47541.png,https://media.api-sports.io/football/teams/533.png,La Liga,75.0,184.0
70500,Sergi Cardona,25,Spain,False,Las Palmas,Defender,35.0,2815.0,40.0,39.0,1730.0,5.0,17.0,33.0,,17.0,60.0,52.0,7.0,46.0,90.0,219.0,384.0,2.0,1.0,0.0,,https://media.api-sports.io/football/players/70500.png,https://media.api-sports.io/football/teams/534.png,7.082857,10.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/70500.png,https://media.api-sports.io/football/teams/534.png,La Liga,77.0,185.0
182181,Jesús Areso,25,Spain,False,Osasuna,Defender,37.0,2661.0,,36.0,941.0,2.0,6.0,78.0,,44.0,20.0,30.0,16.0,19.0,45.0,137.0,254.0,6.0,1.0,0.0,,https://media.api-sports.io/football/players/182181.png,https://media.api-sports.io/football/teams/727.png,6.870270,3.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/182181.png,https://media.api-sports.io/football/teams/727.png,La Liga,81.0,182.0
182219,Álex Baena,23,Spain,False,Villarreal,Midfielder,34.0,2599.0,,86.0,1052.0,26.0,51.0,51.0,,26.0,57.0,52.0,2.0,12.0,34.0,125.0,271.0,14.0,2.0,0.0,,https://media.api-sports.io/football/players/182219.png,https://media.api-sports.io/football/teams/533.png,7.235294,11.0,1.0,0.0,False,,,0.0,1.0,,https://media.api-sports.io/football/players/182219.png,https://media.api-sports.io/football/teams/533.png,La Liga,70.0,175.0
